Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Horizontal Field Supression,Horizontal Field Supression_DoG,Frame
0.0029160976,23,9,0.0057899952,0,19,0.00421381,0,19,0.001404047,0,6,0.0037398338,36,8,0.0099649429,98,23,0.0069608688,38,24,0.0018420219,74,3,0.0050048828,46,AnalysisData/frame513.jpg
0.0026509762,12,7,0.0053620338,0,12,0.0040810108,0,11,0.0012938976,0,2,0.0033199787,20,9,0.00938797,54,1,0.0083670616,24,1,0.0017738342,43,0,0.004776001,48,AnalysisData/frame1103.jpg
0.0028400421,21,22,0.0052990913,0,17,0.0037429333,0,19,0.0011618137,0,2,0.0032329559,43,21,0.0097408295,98,17,0.0077729225,71,17,0.0018470287,136,0,0.005439043,27,AnalysisData/frame2531.jpg
0.0026369095,16,17,0.0058090687,0,16,0.0048379898,0,15,0.0011320114,0,1,0.0035200119,51,19,0.0092611313,51,11,0.0095329285,19,11,0.00086689,43,0,0.0054440498,41,AnalysisData/frame1620.jpg
0.0027930737,30,20,0.0050709248,0,22,0.004021883,0,24,0.001429081,0,3,0.0032670498,52,26,0.0094051361,96,23,0.0078668594,43,24,0.0016970634,92,0,0.0052227974,15,AnalysisData/frame1512.jpg
0.0028409958,16,8,0.0071158409,0,12,0.0046708584,0,16,0.0010910034,0,1,0.0031399727,31,11,0.0099170208,46,13,0.007833004,19,15,0.0017540455,39,1,0.0049579144,42,AnalysisData/frame499.jpg
0.0026609898,27,14,0.0056009293,0,21,0.0038421154,0,22,0.0014629364,0,3,0.0035719872,45,18,0.0100460052,66,22,0.0080139637,52,23,0.0017240047,112,0,0.0060529709,17,AnalysisData/frame1381.jpg
0.002603054,6,14,0.0053567886,0,8,0.003690958,0,8,0.0011639595,0,1,0.0034739971,21,9,0.0090529919,7,8,0.0058820248,2,8,0.0016410351,6,0,0.0046920776,26,AnalysisData/frame428.jpg
0.0025119781,16,16,0.0057079792,0,15,0.0043940544,0,17,0.0011639595,0,1,0.0036730766,32,22,0.0103330612,56,15,0.008341074,31,15,0.0019750595,57,0,0.0051560402,37,AnalysisData/frame2386.jpg
0.0025839806,20,19,0.005494833,0,17,0.0042178631,0,18,0.001196146,0,1,0.0035259724,37,27,0.0125870705,69,14,0.0075390339,39,15,0.0017530918,57,0,0.0042910576,41,AnalysisData/frame2360.jpg
0.0026478767,9,11,0.0048139095,0,8,0.0042600632,0,9,0.001144886,0,0,0.003305912,36,6,0.0090761185,41,4,0.0074400902,23,4,0.0017068386,34,0,0.005177021,69,AnalysisData/frame1990.jpg
0.0026040077,10,11,0.0063109398,0,14,0.0039870739,0,14,0.0011489391,0,1,0.0030350685,44,9,0.0093488693,57,4,0.0084087849,32,4,0.0018129349,50,0,0.0047488213,35,AnalysisData/frame3038.jpg
0.0029740334,11,22,0.0055129528,0,16,0.0043230057,0,17,0.0012331009,0,0,0.0034401417,72,13,0.0098958015,83,5,0.0069739819,52,5,0.0014350414,90,0,0.0047061443,24,AnalysisData/frame2492.jpg
0.0025138855,13,12,0.0054559708,0,15,0.0043299198,0,16,0.0011911392,0,0,0.0029821396,31,13,0.0094590187,38,12,0.0075309277,21,12,0.0019009113,29,0,0.0049209595,22,AnalysisData/frame912.jpg
0.0020060539,14,9,0.0058670044,0,13,0.00406003,0,13,0.0011661053,0,0,0.0032298565,34,10,0.0093917847,49,9,0.007819891,36,9,0.0017910004,58,0,0.0051729679,30,AnalysisData/frame2086.jpg
0.0026390553,24,16,0.005851984,0,20,0.0036962032,0,21,0.0011370182,0,6,0.0037109852,34,23,0.0094778538,75,12,0.0080690384,46,13,0.0017011166,76,1,0.0048840046,34,AnalysisData/frame2138.jpg
0.0026009083,3,12,0.0054569244,0,9,0.0041399002,0,9,0.0013780594,0,0,0.0035002232,30,1,0.0094339848,38,0,0.0076959133,20,0,0.0018999577,30,0,0.0049932003,47,AnalysisData/frame2824.jpg
0.003057003,20,6,0.0056898594,0,18,0.0048158169,0,19,0.0013868809,0,7,0.0031628609,23,7,0.009912014,146,19,0.0082759857,71,20,0.002532959,147,6,0.004942894,45,AnalysisData/frame539.jpg
0.0026679039,9,4,0.0054140091,0,7,0.0043241978,0,7,0.0011689663,0,0,0.0036110878,8,5,0.0094850063,36,8,0.008161068,20,8,0.0016949177,28,0,0.0043809414,17,AnalysisData/frame369.jpg
0.002628088,16,13,0.0076580048,0,19,0.0037109852,0,18,0.0011401176,0,1,0.0030910969,43,22,0.0094249249,72,11,0.0077700615,48,11,0.0006790161,91,0,0.0049250126,28,AnalysisData/frame931.jpg
0.0027348995,17,3,0.0053379536,0,10,0.0044999123,0,15,0.0011758804,0,0,0.0035071373,18,12,0.0094609261,71,11,0.0079810619,65,11,0.0013859272,95,0,0.0049889088,32,AnalysisData/frame3110.jpg
0.0025789738,10,11,0.0053200722,0,10,0.0039539337,0,10,0.0008108616,0,1,0.0032150745,30,15,0.0098869801,42,10,0.0077798367,23,10,0.0016720295,45,0,0.0048260689,34,AnalysisData/frame2328.jpg
0.0026199818,20,5,0.0056209564,0,17,0.0042419434,0,18,0.001155138,0,1,0.0035710335,27,22,0.0094571114,93,13,0.0079700947,73,13,0.0012819767,107,0,0.0048902035,43,AnalysisData/frame2451.jpg
0.002918005,25,11,0.0062870979,0,17,0.0044589043,0,17,0.0011529922,0,5,0.0035281181,55,16,0.0089168549,81,21,0.0079469681,39,21,0.0017850399,78,0,0.0050120354,12,AnalysisData/frame1075.jpg
0.0031709671,14,7,0.0065209866,0,16,0.0044620037,0,16,0.0012187958,0,6,0.0035629272,25,10,0.0096700191,62,15,0.0078868866,41,16,0.0016829967,72,1,0.005218029,40,AnalysisData/frame2301.jpg
0.0025868416,27,12,0.0051279068,0,18,0.003857851,0,18,0.0011999607,0,1,0.0031449795,52,18,0.0094828606,74,18,0.0084199905,40,18,0.0017168522,77,0,0.0048120022,11,AnalysisData/frame1002.jpg
0.0026979446,16,16,0.0052611828,0,15,0.0047931671,0,15,0.0009610653,0,5,0.0036411285,37,21,0.0102031231,71,14,0.0077810287,32,14,0.0018088818,73,2,0.005215168,45,AnalysisData/frame2299.jpg
0.0025129318,16,6,0.0056190491,0,13,0.0031740665,0,13,0.0011839867,0,2,0.0029611588,37,19,0.0092179775,48,10,0.0074830055,50,10,0.0016729832,57,0,0.0051679611,19,AnalysisData/frame2992.jpg
0.0029978752,22,13,0.0054519176,0,18,0.0041871071,0,18,0.0012049675,0,4,0.0035409927,36,19,0.0098628998,69,23,0.0079388618,52,23,0.0017309189,128,0,0.0054788589,17,AnalysisData/frame1367.jpg
