Goal Area,Classification,Time,Tag,Frame
[436 173 25 79],Partial Goal,9.60826873779e-05,DoG_FuzzyLogic,AnalysisData/frame1661.jpg
[144 237 216 76],Complete Goal,0.000220060348511,DoG_StatAreas,AnalysisData/frame55.jpg
[155 217 194 88],Complete Goal,0.010724067688,DoG_FieldPostTrans,AnalysisData/frame55.jpg
[144 232 24 85],Partial Goal,8.9168548584e-05,DoG_FuzzyLogic,AnalysisData/frame55.jpg
[1 154 401 174],Complete Goal,0.000782012939453,DoG_StatAreas,AnalysisData/frame513.jpg
[201 132 181 193],Complete Goal,0.012589931488,DoG_FieldPostTrans,AnalysisData/frame513.jpg
[1 139 401 193],Complete Goal,0.000505208969116,DoG_FuzzyLogic,AnalysisData/frame513.jpg
[365 256 40 76],Complete Goal,7.9870223999e-05,Lap_StatAreas,AnalysisData/frame513.jpg
[365 256 40 76],Complete Goal,8.29696655273e-05,Lap_FieldPostTrans,AnalysisData/frame513.jpg
[365 256 40 76],Complete Goal,7.39097595215e-05,Lap_FuzzyLogic,AnalysisData/frame513.jpg
[1 208 407 173],Partial Goal,0.000689029693604,DoG_StatAreas,AnalysisData/frame499.jpg
[204 190 0 190],Partial Goal,0.0116109848022,DoG_FieldPostTrans,AnalysisData/frame499.jpg
[1 195 407 190],Complete Goal,0.000741004943848,DoG_FuzzyLogic,AnalysisData/frame499.jpg
[362 369 49 17],Partial Goal,5.79357147217e-05,Lap_StatAreas,AnalysisData/frame499.jpg
[362 369 49 17],Partial Goal,6.31809234619e-05,Lap_FieldPostTrans,AnalysisData/frame499.jpg
[362 369 49 17],Partial Goal,5.10215759277e-05,Lap_FuzzyLogic,AnalysisData/frame499.jpg
[32 243 213 71],Complete Goal,0.000198841094971,DoG_StatAreas,AnalysisData/frame428.jpg
[42 226 193 88],Complete Goal,0.0116708278656,DoG_FieldPostTrans,AnalysisData/frame428.jpg
[32 235 21 88],Complete Goal,9.29832458496e-05,DoG_FuzzyLogic,AnalysisData/frame428.jpg
[708 122 301 106],Complete Goal,0.000787019729614,DoG_StatAreas,AnalysisData/frame2386.jpg
[858 96 0 129],Partial Goal,0.0123629570007,DoG_FieldPostTrans,AnalysisData/frame2386.jpg
[708 111 301 129],Complete Goal,0.000504970550537,DoG_FuzzyLogic,AnalysisData/frame2386.jpg
[711 180 20 29],Partial Goal,0.000118970870972,Lap_StatAreas,AnalysisData/frame2386.jpg
[711 180 20 29],Partial Goal,6.00814819336e-05,Lap_FieldPostTrans,AnalysisData/frame2386.jpg
[711 180 20 29],Partial Goal,4.79221343994e-05,Lap_FuzzyLogic,AnalysisData/frame2386.jpg
[764 110 309 107],Complete Goal,0.000395059585571,DoG_StatAreas,AnalysisData/frame2360.jpg
[779 85 139 130],Complete Goal,0.0126039981842,DoG_FieldPostTrans,AnalysisData/frame2360.jpg
[764 100 309 130],Complete Goal,0.000457048416138,DoG_FuzzyLogic,AnalysisData/frame2360.jpg
[762 195 306 -43],Error in Detection,0.00411605834961,Lap_StatAreas,AnalysisData/frame2360.jpg
[782 187 0 25],Partial Goal,0.0027871131897,Lap_FieldPostTrans,AnalysisData/frame2360.jpg
[762 195 40 25],Partial Goal,7.79628753662e-05,Lap_FuzzyLogic,AnalysisData/frame2360.jpg
[502 235 163 71],Complete Goal,0.000159978866577,DoG_StatAreas,AnalysisData/frame1990.jpg
[515 179 85 147],Complete Goal,0.0139169692993,DoG_FieldPostTrans,AnalysisData/frame1990.jpg
[502 183 163 147],Complete Goal,0.000313997268677,DoG_FuzzyLogic,AnalysisData/frame1990.jpg
[615 312 59 -67],Error in Detection,0.000257968902588,Lap_StatAreas,AnalysisData/frame1990.jpg
[629 282 15 45],Partial Goal,0.00390005111694,Lap_FieldPostTrans,AnalysisData/frame1990.jpg
[620 200 18 45],Partial Goal,7.48634338379e-05,Lap_FuzzyLogic,AnalysisData/frame1990.jpg
[1 1 308 219],Complete Goal,0.000653028488159,DoG_StatAreas,AnalysisData/frame539.jpg
[1 1 308 219],Complete Goal,0.000751972198486,DoG_FieldPostTrans,AnalysisData/frame539.jpg
[1 1 308 219],Complete Goal,0.000638961791992,DoG_FuzzyLogic,AnalysisData/frame539.jpg
