Single Channel Segmentation,Single Channel Segmentation_DoG,Single Channel Segmentation_Lap,Grid Single Channel Scanline,Grid Single Channel Scanline_DoG,Grid Single Channel Scanline_Lap,Vertical Single Channel Scanline,Vertical Single Channel Scanline_DoG,Vertical Single Channel Scanline_Lap,Horizontal Single Channel Scanline,Horizontal Single Channel Scanline_DoG,Horizontal Single Channel Scanline_Lap,RGB Channel Segmentation,RGB Channel Segmentation_DoG,RGB Channel Segmentation_Lap,Grid RGB Channel Scanline,Grid RGB Channel Scanline_DoG,Grid RGB Channel Scanline_Lap,Vertical RGB Channel Scanline,Vertical RGB Channel Scanline_DoG,Vertical RGB Channel Scanline_Lap,Horizontal RGB Channel Scanline,Horizontal RGB Channel Scanline_DoG,Horizontal RGB Channel Scanline_Lap,Frame
0.003968954086303711,0,0,0.005682945251464844,0,0,0.004603862762451172,0,0,0.00127410888671875,0,0,0.0033998489379882812,0,0,0.009563922882080078,0,0,0.007684946060180664,0,0,0.002329111099243164,0,0,AnalysisData/frame2173.jpg
0.0029938220977783203,0,0,0.005632162094116211,0,0,0.0046651363372802734,0,0,0.0013089179992675781,0,0,0.0035190582275390625,0,0,0.009205102920532227,0,0,0.007268190383911133,0,0,0.0018520355224609375,0,0,AnalysisData/frame2713.jpg
0.0027420520782470703,0,0,0.005303144454956055,0,0,0.0046539306640625,0,0,0.0013651847839355469,0,0,0.003695964813232422,0,0,0.009242057800292969,0,0,0.007625102996826172,0,0,0.0014362335205078125,0,0,AnalysisData/frame744.jpg
0.004389047622680664,0,0,0.005468845367431641,0,0,0.004523038864135742,0,0,0.0012669563293457031,0,0,0.0038700103759765625,0,0,0.009641885757446289,0,0,0.007645845413208008,0,0,0.001814126968383789,0,0,AnalysisData/frame1117.jpg
0.0029091835021972656,0,0,0.005260944366455078,0,0,0.00419306755065918,0,0,0.001260995864868164,0,0,0.003626108169555664,0,0,0.009552001953125,0,0,0.006264925003051758,0,0,0.001837015151977539,0,0,AnalysisData/frame1785.jpg
0.003119230270385742,0,0,0.0058290958404541016,0,0,0.004221200942993164,0,0,0.0008969306945800781,0,0,0.004015207290649414,0,0,0.00960993766784668,0,0,0.008037805557250977,0,0,0.0018091201782226562,0,0,AnalysisData/frame1442.jpg
0.004359006881713867,0,0,0.004929065704345703,1,0,0.003821134567260742,0,0,0.0012960433959960938,0,0,0.0036780834197998047,0,0,0.009294986724853516,1,0,0.00795602798461914,0,0,0.0018169879913330078,0,0,AnalysisData/frame1943.jpg
0.002856016159057617,0,0,0.005209922790527344,0,0,0.004609107971191406,0,0,0.0014460086822509766,0,0,0.0036759376525878906,0,0,0.009386062622070312,0,0,0.0069200992584228516,0,0,0.001859903335571289,0,0,AnalysisData/frame2435.jpg
0.0029180049896240234,0,0,0.0056951045989990234,1,0,0.004146099090576172,0,0,0.0013668537139892578,0,0,0.003320932388305664,0,0,0.010174036026000977,1,0,0.008244037628173828,0,0,0.001878976821899414,0,0,AnalysisData/frame1770.jpg
0.003206968307495117,0,0,0.0056591033935546875,0,0,0.00404810905456543,0,0,0.001055002212524414,0,0,0.004143953323364258,0,0,0.009608983993530273,0,0,0.008074045181274414,0,0,0.002040863037109375,0,0,AnalysisData/frame2072.jpg
