Goal Area,Time,Classification,Tag,Frame
[448 316 55 55],0.0424070358276,False,DoG_CNN,AnalysisData/frame2955.jpg
[505 320 31 31],0.000857830047607,False,DoG_bhuman,AnalysisData/frame2955.jpg
[505 320 31 31],0.000892162322998,False,DoG_Constrast,AnalysisData/frame2955.jpg
[505 320 31 31],0.000581026077271,False,DoG_HoG,AnalysisData/frame2955.jpg
[505 320 31 31],0.0364098548889,False,DoG_CNN,AnalysisData/frame2955.jpg
[834 276 31 31],0.00144004821777,False,DoG_bhuman,AnalysisData/frame2955.jpg
[834 276 31 31],0.000220060348511,True,DoG_Constrast,AnalysisData/frame2955.jpg
[834 276 31 31],0.000581026077271,False,DoG_HoG,AnalysisData/frame2955.jpg
[834 276 31 31],0.0444769859314,False,DoG_CNN,AnalysisData/frame2955.jpg
[340 254 61 61],2.38418579102e-05,False,Lap_bhuman,AnalysisData/frame2955.jpg
[340 254 61 61],1.31130218506e-05,False,Lap_Constrast,AnalysisData/frame2955.jpg
[340 254 61 61],0.000572919845581,False,Lap_HoG,AnalysisData/frame2955.jpg
[340 254 61 61],0.0466229915619,False,Lap_CNN,AnalysisData/frame2955.jpg
[457 385 48 48],0.00206089019775,False,Lap_bhuman,AnalysisData/frame2955.jpg
[457 385 48 48],0.00947999954224,True,Lap_Constrast,AnalysisData/frame2955.jpg
[457 385 48 48],0.00055193901062,False,Lap_HoG,AnalysisData/frame2955.jpg
[457 385 48 48],0.0433728694916,True,Lap_CNN,AnalysisData/frame2955.jpg
[540 389 41 41],0.00280690193176,True,Lap_bhuman,AnalysisData/frame2955.jpg
[540 389 41 41],0.0134840011597,True,Lap_Constrast,AnalysisData/frame2955.jpg
[540 389 41 41],0.000558137893677,True,Lap_HoG,AnalysisData/frame2955.jpg
[540 389 41 41],0.041307926178,True,Lap_CNN,AnalysisData/frame2955.jpg
[491 362 70 70],0.00130796432495,False,Lap_bhuman,AnalysisData/frame2955.jpg
[491 362 70 70],0.00131797790527,False,Lap_Constrast,AnalysisData/frame2955.jpg
[491 362 70 70],0.000598192214966,False,Lap_HoG,AnalysisData/frame2955.jpg
[491 362 70 70],0.0393159389496,False,Lap_CNN,AnalysisData/frame2955.jpg
[455 323 41 41],0.000786781311035,False,Lap_bhuman,AnalysisData/frame2955.jpg
[455 323 41 41],0.000757932662964,False,Lap_Constrast,AnalysisData/frame2955.jpg
[455 323 41 41],0.000575065612793,False,Lap_HoG,AnalysisData/frame2955.jpg
[455 323 41 41],0.0412080287933,False,Lap_CNN,AnalysisData/frame2955.jpg
[355 271 31 31],3.40938568115e-05,False,Lap_bhuman,AnalysisData/frame2955.jpg
[355 271 31 31],1.50203704834e-05,False,Lap_Constrast,AnalysisData/frame2955.jpg
[355 271 31 31],0.000624179840088,False,Lap_HoG,AnalysisData/frame2955.jpg
[355 271 31 31],0.0402569770813,True,Lap_CNN,AnalysisData/frame2955.jpg
[510 325 21 21],0.000787019729614,False,Lap_bhuman,AnalysisData/frame2955.jpg
[510 325 21 21],0.00074315071106,False,Lap_Constrast,AnalysisData/frame2955.jpg
[510 325 21 21],0.000580072402954,False,Lap_HoG,AnalysisData/frame2955.jpg
[510 325 21 21],0.0502550601959,False,Lap_CNN,AnalysisData/frame2955.jpg
[839 281 21 21],0.00143814086914,False,Lap_bhuman,AnalysisData/frame2955.jpg
[839 281 21 21],0.000213861465454,True,Lap_Constrast,AnalysisData/frame2955.jpg
[839 281 21 21],0.00055193901062,False,Lap_HoG,AnalysisData/frame2955.jpg
